Name,Type,Prescription Required,Description
Amoxicillin,Acute,Yes,Antibiotic used to treat bacterial infections such as pneumonia bronchitis and infections of the ear nose throat skin or urinary tract
Albuterol,Acute,Yes,Bronchodilator used to treat asthma chronic obstructive pulmonary disease (COPD) and other breathing problems
Diazepam,Acute,Yes,Benzodiazepine used to treat anxiety disorders alcohol withdrawal muscle spasms and seizures
Ciprofloxacin,Acute,Yes,Fluoroquinolone antibiotic used to treat bacterial infections such as urinary tract infections respiratory infections skin infections and bone/joint infections
Prednisone,Acute,Yes,Corticosteroid used to treat inflammatory conditions such as arthritis asthma skin conditions and allergic disorders
Metronidazole,Acute,Yes,Nitroimidazole antibiotic used to treat bacterial infections protozoal infections and infections of the vagina stomach skin joints and respiratory tract
Azithromycin,Acute,Yes,Macrolide antibiotic used to treat bacterial infections such as respiratory infections skin infections ear infections and sexually transmitted infections
Warfarin,Acute,Yes,Oral anticoagulant used to prevent blood clots in conditions such as atrial fibrillation deep vein thrombosis (DVT) and pulmonary embolism
Clopidogrel,Acute,Yes,Antiplatelet medication used to reduce the risk of heart attack and stroke in conditions such as acute coronary syndrome peripheral artery disease and after a recent heart attack or stroke
Levofloxacin,Acute,Yes,Fluoroquinolone antibiotic used to treat bacterial infections such as respiratory infections skin infections urinary tract infections and prostate infections
Cephalexin,Acute,Yes,Cephalosporin antibiotic used to treat bacterial infections such as respiratory tract infections skin infections ear infections and urinary tract infections
Naproxen,Acute,Yes,Nonsteroidal anti-inflammatory drug (NSAID) used to reduce pain inflammation and fever
Fluconazole,Acute,Yes,Antifungal medication used to treat fungal infections such as yeast infections of the mouth throat esophagus abdomen lungs blood and other organs
Hydrocodone,Acute,Yes,Opioid analgesic used to treat moderate to severe pain
Oxycodone,Acute,Yes,Opioid analgesic used to treat moderate to severe pain
Alprazolam,Acute,Yes,Benzodiazepine used to treat anxiety and panic disorders
Tramadol,Acute,Yes,Opioid analgesic used to treat moderate to severe pain
Doxycycline,Acute,Yes,Tetracycline antibiotic used to treat bacterial infections such as acne urinary tract infections and chlamydia
Lorazepam,Acute,Yes,Benzodiazepine used to treat anxiety disorders insomnia and seizures
Furosemide,Acute,Yes,Loop diuretic used to treat fluid retention (edema) and high blood pressure
Omeprazole,Periodic,Yes,Proton pump inhibitor (PPI) used to reduce stomach acid and treat conditions like heartburn acid reflux and ulcers
Simvastatin,Periodic,Yes,Statin medication used to lower cholesterol levels in the blood and reduce the risk of heart disease and stroke
Metformin,Periodic,Yes,Oral diabetes medicine used to control blood sugar levels in people with type 2 diabetes
Lisinopril,Periodic,Yes,Angiotensin-converting enzyme (ACE) inhibitor used to treat high blood pressure heart failure and to improve survival after a heart attack
Atorvastatin,Periodic,Yes,Statin medication used to lower cholesterol levels in the blood and reduce the risk of heart disease and stroke
Metoprolol,Periodic,Yes,Beta-blocker used to treat high blood pressure chest pain (angina) heart failure and to improve survival after a heart attack
Levothyroxine,Periodic,Yes,Thyroid hormone used to treat an underactive thyroid (hypothyroidism)
Losartan,Periodic,Yes,Angiotensin II receptor blocker (ARB) used to treat high blood pressure and to reduce the risk of stroke in patients with hypertension and left ventricular hypertrophy
Amlodipine,Periodic,Yes,Calcium channel blocker used to treat high blood pressure and chest pain (angina)
Montelukast,Periodic,Yes,Leukotriene receptor antagonist used to prevent asthma and to treat seasonal allergies
Fluticasone,Periodic,Yes,Corticosteroid used to treat asthma allergic rhinitis and nasal polyps
Ranitidine,Periodic,Yes,H2 blocker used to reduce stomach acid and treat conditions like heartburn acid reflux and ulcers
Pantoprazole,Periodic,Yes,Proton pump inhibitor (PPI) used to reduce stomach acid and treat conditions like heartburn acid reflux and ulcers
Celecoxib,Periodic,Yes,NSAID used to treat pain inflammation and stiffness caused by arthritis
Meloxicam,Periodic,Yes,NSAID used to treat pain inflammation and stiffness caused by arthritis
Budesonide,Periodic,Yes,Corticosteroid used to treat asthma allergic rhinitis and inflammatory bowel disease
Eszopiclone,Periodic,Yes,Nonbenzodiazepine sedative-hypnotic used to treat insomnia
Fluoxetine,Periodic,Yes,Selective serotonin reuptake inhibitor (SSRI) used to treat depression obsessive-compulsive disorder (OCD) bulimia nervosa and panic disorder
Gabapentin,Periodic,Yes,Anticonvulsant medication used to treat epilepsy and neuropathic pain
Hydrochlorothiazide,Periodic,Yes,Thiazide diuretic used to treat high blood pressure and fluid retention (edema) caused by various conditions
Insulin,Acute/Periodic,Yes,Hormone used to treat diabetes by controlling blood sugar levels
Aripiprazole,Periodic,Yes,Atypical antipsychotic used to treat schizophrenia bipolar disorder major depressive disorder and irritability associated with autism
Tadalafil,Acute,Yes,Phosphodiesterase type 5 (PDE5) inhibitor used to treat erectile dysfunction (impotence) and symptoms of benign prostatic hyperplasia (enlarged prostate)
Sildenafil,Acute,Yes,Phosphodiesterase type 5 (PDE5) inhibitor used to treat erectile dysfunction (impotence) and pulmonary arterial hypertension
Citalopram,Periodic,Yes,Selective serotonin reuptake inhibitor (SSRI) used to treat depression and anxiety disorders
Carvedilol,Periodic,Yes,Beta-blocker used to treat high blood pressure heart failure and to improve survival after a heart attack
Celecoxib,Acute,Yes,NSAID used to treat pain inflammation and stiffness caused by arthritis
Meloxicam,Acute,Yes,NSAID used to treat pain inflammation and stiffness caused by arthritis
Budesonide,Acute,Yes,Corticosteroid used to treat asthma allergic rhinitis and inflammatory bowel disease
Eszopiclone,Acute,Yes,Nonbenzodiazepine sedative-hypnotic used to treat insomnia
